"table","variable","type","observed_generated_domain_or_distribution","observed_small_domain_values","plida_metadata_description","evidence_status","official_source_url","official_code_or_source_summary","current_generated_assessment","required_next_action"
"person","MTWP","character","@@@=1257; 006=633; 233=259; 234=159; 007=40; &&&=33; 232=32; 001=26; 002=26; 011=14; 003=11; 010=10","@@@; 006; 233; 234; 007; &&&; 232; 001; 002; 011; 003; 010","Method of Travel to Work | Method of travel to work","official_abs_dictionary_large_classification_current_subset","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/transport/method-travel-work-mtwp","Large method-of-travel-to-work classification with three-character single-mode and multimode codes plus supplementary codes; current generator uses a compact subset.","Official page exists, but current generator emits a subset or higher-level representation; full code table still needs frozen machine-readable source for validation.","Freeze or generate the full official code table and validate every emitted code against it."
"person","OCCP","character","@@@@@@=1257; 300000=42; 100000=34; 200000=23; 800000=14; 611112=7; 551111=6; 621712=6; 111399=5; 134299=5; 394214=5; 400000=5","@@@@@@; 300000; 100000; 200000; 800000; 611112; 551111; 621712; 111399; 134299; 394214; 400000; 521111; 591112; 599311; 599513; 612113; 621912; 639211; 639212; 111212; 111311; 111312; 133211; 134499; 135199; 149911; 231111; 233215; 253917","Occupation | Occupation code","official_abs_dictionary_large_classification_current_subset","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/income-and-work/occupation-occp","Six-character occupation classification. Current generator uses ANZSCO codes, major-group nfd fallbacks, and supplementary codes; full official table is larger.","Official page exists, but current generator emits a subset or higher-level representation; full code table still needs frozen machine-readable source for validation.","Freeze or generate the full official code table and validate every emitted code against it."
"person","RELP","character","7=996; 1=565; 2=246; &=155; 5=79; 6=78; 3=73; 69=62; 201=61; 4=45; 72=34; 71=33","7; 1; 2; &; 5; 6; 3; 69; 201; 4; 72; 71; 0000; 73; 207; 601","Religious Affiliation | Religious affiliation","official_abs_dictionary_large_classification_current_subset","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/cultural-diversity/religious-affiliation-relp","Large religious-affiliation classification with detailed codes and supplementary codes; current generator uses a compact subset.","Official page exists, but current generator emits a subset or higher-level representation; full code table still needs frozen machine-readable source for validation.","Freeze or generate the full official code table and validate every emitted code against it."
"person","SEXP","integer","1 / 1 / 1 / 2 / 2","1; 2","Sex","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/population/sex-sexp","1 male; 2 female. ABS notes missing sex is imputed rather than using a not-stated category.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","STEUCP","integer","1 / 1 / 2 / 3 / 8","1; 2; 3; 4; 5; 6; 7; 8","State/territory of usual address | State (ur)","local_plida_or_asgs_not_public_dictionary_page","","Local PLIDA state/territory of usual-address geography field; verify against DIL and ASGS conventions.","Keep as local PLIDA/DIL or ASGS field until exact DIL/ASGS source is attached.","Attach PLIDA DIL/ASGS source before using as official geography/demographic code."
"person","STUP","character","1=1808; 2=387; 3=141; &=109; 4=55","1; 2; 3; &; 4","Full-Time/Part-Time Student Status | Full-time/part-time student status","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/education-and-training/full-timepart-time-student-status-stup","1 not attending; 2 full-time student; 3 part-time student; 4 institution stated but full-time/part-time not stated; & both not stated; V overseas visitor.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","SYNTHETIC_AEUID","character","51F4D0000001=1; 51F4D0000002=1; 51F4D0000003=1; 51F4D0000004=1; 51F4D0000005=1; 51F4D0000006=1; 51F4D0000007=1; 51F4D0000008=1; 51F4D0000009=1; 51F4D000000A=1; 51F4D000000B=1; 51F4D000000C=1","51F4D0000001; 51F4D0000002; 51F4D0000003; 51F4D0000004; 51F4D0000005; 51F4D0000006; 51F4D0000007; 51F4D0000008; 51F4D0000009; 51F4D000000A; 51F4D000000B; 51F4D000000C; 51F4D000000D; 51F4D000000E; 51F4D000000F; 51F4D0000010; 51F4D0000011; 51F4D0000012; 51F4D0000013; 51F4D0000014; 51F4D0000015; 51F4D0000016; 51F4D0000017; 51F4D0000018; 51F4D0000019; 51F4D000001A; 51F4D000001B; 51F4D000001C; 51F4D000001D; 51F4D000001E","Synthetic id of individual person on dataset | Synthetic id","local_identifier_not_abs_dictionary","","Synthetic package person identifier, not an ABS Census Dictionary variable.","Keep as package linkage key; do not describe as ABS code domain.","Document as local identifier only."
"person","UNCAREP","character","1=1664; @=456; 2=275; &=105","1; @; 2; &","Unpaid Assistance to a Person with a Disability | Unpaid assistance to a person with a disability  health condition  or due to old age","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/disability-and-carers/unpaid-assistance-person-disability-health-condition-or-due-old-age-uncarep","1 no unpaid assistance provided; 2 provided unpaid assistance; &, @, V supplementary codes.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","VOLWP","character","1=1651; @=456; 2=290; &=103","1; @; 2; &","Voluntary Work for an Organisation or Group | Voluntary work for an organisation or group","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/unpaid-work-and-care/voluntary-work-organisation-or-group-volwp","1 not a volunteer; 2 volunteer; & not stated; @ not applicable; V overseas visitor.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","YARP","character","@@@@=1664; 2021=50; 2018=41; 2020=34; 2015=33; 2019=33; 2006=29; 2017=28; 2014=26; 2010=25; 2012=25; 2016=25","@@@@; 2021; 2018; 2020; 2015; 2019; 2006; 2017; 2014; 2010; 2012; 2016; 2013; 1983; 2004; 2011; 2008; 1990; 2002; 2003; 2005; 1996; 2001; 1989; 1991; 2007; 1987; 1995; 2000; 1985","Year of Arrival in Australia | Year of arrival in australia","official_abs_dictionary_numeric_or_year_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/cultural-diversity/year-arrival-australia-yarp","Year of arrival in Australia values plus &&&& not stated, @@@@ not applicable, VVVV overseas visitor.","Generated values are plausible/in-domain by local tests, but exact distribution is synthetic.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
