"ato_code"	"ato_description"
922303	"Consultant - workplace relations"
922401	"Consultant - management"
922501	"Consultant - marketing specialist"
922502	"Consultant - public relations professional"
922503	"Consultant - medical and pharmaceutical products sales representative"
923202	"Consultant - urban and regional planner"
923301	"Consultant - chemical or material engineer"
923302	"Consultant - civil engineer"
923303	"Consultant - electrical engineer"
923304	"Consultant - electronics engineer"
923305	"Consultant - industrial or mechanical engineer"
923306	"Consultant - mining engineer"
923307	"Consultant - engineering - other"
923401	"Consultant - environmental"
925001	"Consultant - medical"
925101	"Consultant - occupational health and safety"
925401	"Consultant - clinical nurse"
926101	"Consultant - IT business analyst"
931101	"Trainee - agricultural technician"
931102	"Trainee - medical technician"
931301	"Trainee - IT technician"
931302	"Trainee - telecommunications technical specialist"
932101	"Trainee - automotive electrician"
932102	"Apprentice - mechanic"
932201	"Trainee - metal fabrication engineer"
932301	"Trainee - mechanical trades engineer"
932302	"Trainee - aircraft maintenance engineer"
932303	"Trainee - watch and clock maker"
932401	"Trainee - automotive - other"
933101	"Trainee - bricklayer"
933102	"Trainee - carpenter and joiner"
933201	"Trainee - floor finisher"
933202	"Trainee - painter"
933301	"Trainee - tiler"
933302	"Trainee - plasterer"
933401	"Trainee - plumber"
934101	"Trainee - electrician"
934201	"Trainee - airconditioning and refrigeration mechanic"
934202	"Trainee - electronics tradesperson"
934203	"Trainee - telecommunications tradesperson"
935101	"Trainee - pastrycook"
935102	"Trainee - butcher"
935103	"Trainee - chef"
935104	"Trainee - cook"
936102	"Trainee - animal attendant"
936103	"Trainee - shearer"
936104	"Trainee - veterinary nurse"
936201	"Trainee - florist"
936202	"Trainee - gardener"
936203	"Trainee - greenkeeper"
936204	"Trainee - nurseryperson"
939101	"Trainee - hairdresser"
939201	"Trainee - printer"
939301	"Trainee - canvas and leather tradesperson"
939302	"Trainee - clothing tradesperson"
939303	"Trainee - upholsterer"
939401	"Trainee - wood tradesperson"
939901	"Trainee - shipwright"
939902	"Trainee - power generation plant operator"
939903	"Trainee - jeweller"
939904	"Trainee - performing arts technician"
939905	"Trainee - signwriter"
941001	"Trainee - health and welfare support services"
942001	"Trainee - care and community services"
943101	"Trainee - hospitality"
944201	"Trainee - security and correctional services"
944202	"Consultant - security"
945101	"Trainee - beauty therapist"
945102	"Consultant - weight loss"
945103	"Trainee - tourism and travel adviser"
945104	"Consultant - travel"
945201	"Trainee - sport and recreation"
945203	"Trainee - jockey"
951001	"Trainee - business services"
953001	"Trainee - clerical services"
955001	"Trainee - financial services"
955201	"Consultant - insurance (clerical)"
959901	"Trainee - justice and legal services"
959902	"Consultant - insurance claims investigator"
961101	"Consultant - sales representative (wholesale)"
961202	"Consultant - real estate representative"
962102	"Consultant - sales assistant (retail)"
971201	"Trainee - miner"
973001	"Trainee - transport and distribution driver"
974101	"Trainee - storeperson"
981101	"Trainee - cleaning services"
983101	"Trainee - food, drink or meat processor"
984101	"Trainee - farm or garden worker"
984102	"Trainee - forestry"
984103	"Trainee - stable hand"
989901	"Trainee - deck hand"
989902	"Trainee - autoglazier"
999000	"Occupation not listed"
