dataset	variable	code	label
BLADE	CLASSIFICATION_AREA	30	30
BLADE	CLASSIFICATION_AREA	30_thermal_processes_and_apparatus	30_thermal_processes_and_apparatus
BLADE	CLASSIFICATION_AREA	31	31
BLADE	CLASSIFICATION_AREA	31_mechanical_elements	31_mechanical_elements
BLADE	CLASSIFICATION_AREA	32	32
BLADE	CLASSIFICATION_AREA	32_transport	32_transport
BLADE	CLASSIFICATION_AREA	33	33
BLADE	CLASSIFICATION_AREA	33_furniture_games	33_furniture_games
BLADE	CLASSIFICATION_AREA	34	34
BLADE	CLASSIFICATION_AREA	34_other_consumer_goods	34_other_consumer_goods
BLADE	CLASSIFICATION_AREA	35	35
BLADE	CLASSIFICATION_AREA	35_civil_engineering	35_civil_engineering
BLADE	CLASSIFICATION_AREA	36	36
BLADE	CLASSIFICATION_AREA	37	37
BLADE	CLASSIFICATION_AREA	38	38
BLADE	CLASSIFICATION_AREA	39	39
BLADE	CLASSIFICATION_AREA	4	4
BLADE	CLASSIFICATION_AREA	4_digital_communication	4_digital_communication
BLADE	CLASSIFICATION_AREA	40	40
BLADE	CLASSIFICATION_AREA	41	41
BLADE	CLASSIFICATION_AREA	42	42
BLADE	CLASSIFICATION_AREA	43	43
BLADE	CLASSIFICATION_AREA	44	44
BLADE	CLASSIFICATION_AREA	45	45
BLADE	CLASSIFICATION_AREA	5	5
BLADE	CLASSIFICATION_AREA	5_basic_communication_processes	5_basic_communication_processes
BLADE	CLASSIFICATION_AREA	6	6
BLADE	CLASSIFICATION_AREA	6_computer_technology	6_computer_technology
BLADE	CLASSIFICATION_AREA	7	7
BLADE	CLASSIFICATION_AREA	7_it_methods_for_management	7_it_methods_for_management
BLADE	CLASSIFICATION_AREA	8	8
BLADE	CLASSIFICATION_AREA	8_semiconductors	8_semiconductors
BLADE	CLASSIFICATION_AREA	9	9
BLADE	CLASSIFICATION_AREA	9_optics	9_optics
BLADE	CLASSIFICATION_AREA	99	99
BLADE	CLASSIFICATION_AREA	99_unknown	99_unknown
BLADE	CLASSIFICATION_AREA	amenity_grasses_and_turf	amenity_grasses_and_turf
BLADE	CLASSIFICATION_AREA	field_crops_(cereals)	field_crops_(cereals)
BLADE	CLASSIFICATION_AREA	field_crops_(non-cereals)	field_crops_(non-cereals)
BLADE	CLASSIFICATION_AREA	forage_crops	forage_crops
BLADE	CLASSIFICATION_AREA	fruit_crops	fruit_crops
BLADE	CLASSIFICATION_AREA	fungi	fungi
BLADE	CLASSIFICATION_AREA	ornamentals	ornamentals
BLADE	CLASSIFICATION_AREA	vegetable_crops	vegetable_crops
BLADE	NATURE_OF_TARIFF_CODE_IM	C	Confidential - This is set when ABS confidentialises data.
BLADE	NATURE_OF_TARIFF_CODE_IM	G	Government - Includes imports for Government.
BLADE	NATURE_OF_TARIFF_CODE_IM	N	Normal - Items attracting the rate of duty as prescribed in Schedule 3 of the Customs Tariff.
BLADE	NATURE_OF_TARIFF_CODE_IM	Q	Quota - This covers goods entered under the quota provisions of the Customs Tariff.
BLADE	NATURE_OF_TARIFF_CODE_IM	R	Concessional - Includes goods where a concessional rate of duty applies.
BLADE	PARTY_ROLE	agent	agent
BLADE	PARTY_ROLE	agent_for_opposition	agent_for_opposition
BLADE	PARTY_ROLE	annuity_payer	annuity_payer
BLADE	PARTY_ROLE	applicant	applicant
BLADE	PARTY_ROLE	applicant_being_opposed	applicant_being_opposed
BLADE	PARTY_ROLE	application_trade_mark_non_use_removal	application_trade_mark_non_use_removal
BLADE	PARTY_ROLE	application_trade_mark_non_use_removal_agent	application_trade_mark_non_use_removal_agent
BLADE	PARTY_ROLE	breeder	breeder
BLADE	PARTY_ROLE	charge	charge
BLADE	PARTY_ROLE	charge_agent	charge_agent
BLADE	PARTY_ROLE	claimed_interest	claimed_interest
BLADE	PARTY_ROLE	claimed_interest_agent	claimed_interest_agent
BLADE	PARTY_ROLE	compulsory_licensee	compulsory_licensee
BLADE	PARTY_ROLE	compulsory_licensee_agent	compulsory_licensee_agent
BLADE	PARTY_ROLE	exam_request_agent	exam_request_agent
BLADE	PARTY_ROLE	exam_requestor	exam_requestor
BLADE	PARTY_ROLE	exclusive_licensee	exclusive_licensee
BLADE	PARTY_ROLE	exclusive_licensee_agent	exclusive_licensee_agent
BLADE	PARTY_ROLE	extension_of_time_agent	extension_of_time_agent
BLADE	PARTY_ROLE	extension_of_time_applicant	extension_of_time_applicant
BLADE	PARTY_ROLE	hearing_agent	hearing_agent
BLADE	PARTY_ROLE	hearing_applicant	hearing_applicant
BLADE	PARTY_ROLE	ir_contact	ir_contact
BLADE	PARTY_ROLE	licensee	licensee
BLADE	PARTY_ROLE	licensee_agent	licensee_agent
BLADE	PARTY_ROLE	mortgagee	mortgagee
BLADE	PARTY_ROLE	mortgagee_agent	mortgagee_agent
BLADE	PARTY_ROLE	objector	objector
BLADE	PARTY_ROLE	objector_agent	objector_agent
BLADE	PARTY_ROLE	opponent	opponent
BLADE	PARTY_ROLE	opponent_agent	opponent_agent
BLADE	PARTY_ROLE	opponent_other	opponent_other
BLADE	PARTY_ROLE	opponent_other_agent	opponent_other_agent
BLADE	PARTY_ROLE	opponent_trade_mark_non_use_removal	opponent_trade_mark_non_use_removal
BLADE	PARTY_ROLE	opponent_trade_mark_non_use_removal_agent	opponent_trade_mark_non_use_removal_agent
BLADE	PARTY_ROLE	opposition_claimant	opposition_claimant
BLADE	PARTY_ROLE	opposition_claimant_agent	opposition_claimant_agent
BLADE	PARTY_ROLE	opposition_respondent	opposition_respondent
BLADE	PARTY_ROLE	opposition_respondent_agent	opposition_respondent_agent
BLADE	PARTY_ROLE	owner	owner
BLADE	PARTY_ROLE	patentee	patentee
BLADE	PARTY_ROLE	protection_licensee	protection_licensee
BLADE	PARTY_ROLE	protection_licensee_agent	protection_licensee_agent
BLADE	PARTY_ROLE	qualified_person	qualified_person
BLADE	PARTY_ROLE	re_exam_request_agent	re_exam_request_agent
BLADE	PARTY_ROLE	re_exam_requestor	re_exam_requestor
BLADE	PARTY_ROLE	submitter	submitter
BLADE	PARTY_ROLE	third_party_informant	third_party_informant
BLADE	PARTY_ROLE	third_party_informant_agent	third_party_informant_agent
BLADE	PARTY_ROLE	third_party_inquirer	third_party_inquirer
BLADE	PARTY_ROLE	third_party_inquirer_agent	third_party_inquirer_agent
BLADE	PREFERENCE_CODE_IM	A	The Developing Country preferential rate of duty has been claimed – DC (Schedule 1, Parts 1 and 3)
BLADE	PREFERENCE_CODE_IM	AA	Regional Comprehensive Economic Partnership Agreement (RCEP)
BLADE	PREFERENCE_CODE_IM	AB	Additional Duty Country
BLADE	PREFERENCE_CODE_IM	AC	Australia-India Economic Cooperation and Trade Agreement
BLADE	PREFERENCE_CODE_IM	AD	Australia-United Kingdom Free Trade Agreement (A-UKFTA)
BLADE	PREFERENCE_CODE_IM	AE	Australia-United Arab Emirates Comprehensive Economic Partnership Agreement
BLADE	PREFERENCE_CODE_IM	B	The Declared Preference Country preferential rate of duty has been claimed
BLADE	PREFERENCE_CODE_IM	C	Confidential
BLADE	PREFERENCE_CODE_IM	D	China-Australia Free Trade Agreement (ChFTA)
BLADE	PREFERENCE_CODE_IM	E	Goods which meet Chile/Australia FTA rules of origin receive a free rate of duty
BLADE	PREFERENCE_CODE_IM	F	The Forum Island Country preferential rate of duty has been claimed
BLADE	PREFERENCE_CODE_IM	G	Indonesia-Australia Comprehensive Economic Partnership Agreement (IA-CEPA)
BLADE	PREFERENCE_CODE_IM	H	Goods which meet TAFTA rules of origin and preferential rate of duty has been claimed
BLADE	PREFERENCE_CODE_IM	I	Goods which meet TAFTA rules of origin where safeguard provisions are invoked
BLADE	PREFERENCE_CODE_IM	J	Japan-Australia Economic Partnership Agreement (JAEPA)
BLADE	PREFERENCE_CODE_IM	K	Korea-Australia Free Trade Agreement (KAFTA)
BLADE	PREFERENCE_CODE_IM	L	Least Developed Country preferential rate of duty has been claimed – LDC (Schedule 1, Part 2)
BLADE	PREFERENCE_CODE_IM	M	Goods which meet Malaysia Australia FTA rules of origin & preferential rate of duty has been claimed
BLADE	PREFERENCE_CODE_IM	N	Goods which meet AANZFTA rules of origin and preferential rate of duty has been claimed
BLADE	PREFERENCE_CODE_IM	O	Pacific Agreement on Closer Economic Relations (Pacer) Plus
BLADE	PREFERENCE_CODE_IM	P	Goods which meet SAFTA rules of origin receive a free rate of duty
BLADE	PREFERENCE_CODE_IM	Q	Goods which meet SFTA rules of origin receive a free rate of duty
BLADE	PREFERENCE_CODE_IM	R	The Developing Country preferential rate of duty has been claimed – DCT (Schedule 1, Part 5)
BLADE	PREFERENCE_CODE_IM	S	The special rate for the specific country has been claimed
BLADE	PREFERENCE_CODE_IM	T	The Developing Country preferential rate of duty has been claimed – DCS (Schedule 1, Parts 1 and 4)
BLADE	PREFERENCE_CODE_IM	U	Goods which meet AUSFTA rules of origin and preferential rate of duty has been claimed
BLADE	PREFERENCE_CODE_IM	V	Comprehensive and Progressive Agreement for Trans-Pacific Partnership (TPP-11)
BLADE	PREFERENCE_CODE_IM	W	Australia-Hong Kong Free Trade Agreement (A-HKFTA)
BLADE	PREFERENCE_CODE_IM	X	The special rate that applies has not been claimed and the general rate of duty has been used
BLADE	PREFERENCE_CODE_IM	Y	Peru-Australia Free Trade Agreement (PAFTA)
BLADE	PREFERENCE_CODE_IM	Z	No preferential rate of duty has been claimed
BLADE	TREATMENT_CODE_IM	000	No treatment code
BLADE	TREATMENT_CODE_IM	109	Goods for exhibition at approved trade fairs (recode to 9999312607)
BLADE	TREATMENT_CODE_IM	130	Liquified natural gas of 2711.11.00 entered under Customs Regulation 126(1)(za)
BLADE	TREATMENT_CODE_IM	131	Liquified petroleum gas of 2711.12.10 or 2711.13.10 under Customs reg 126(1)(zb)
BLADE	TREATMENT_CODE_IM	141	Petroleum-based oils (inc. lubricants and greases) eligible for a refund of duty
BLADE	TREATMENT_CODE_IM	155	ABS code to indicate entries by Dept Defence
BLADE	TREATMENT_CODE_IM	171	Goods re-imported (unaltered) after temporary export, per by-law (HS recode)
BLADE	TREATMENT_CODE_IM	172	Goods re-imported (unaltered) after export on a permanent basis, per by-law
BLADE	TREATMENT_CODE_IM	173	Goods re-imported (unaltered) on which duties and taxes are owing
BLADE	TREATMENT_CODE_IM	184	Re-imported goods repaired under warranty, value before repair (HS recode)
BLADE	TREATMENT_CODE_IM	185	Re-imported goods repaired under warranty, cost of the repair (HS recode)
BLADE	TREATMENT_CODE_IM	186	Goods supplied free under warranty to replace previous imports (HS recode)
BLADE	TREATMENT_CODE_IM	187	Free goods to replace goods under global product safety recall (HS recode)
BLADE	TREATMENT_CODE_IM	191	ABS code to indicate Gov entries - excl Dept Defence
BLADE	TREATMENT_CODE_IM	214	Duties collected under Customs anti-dumping act 1975. ABS use only.
BLADE	TREATMENT_CODE_IM	215	Goods under S27 Customs Act - on line for contents
BLADE	TREATMENT_CODE_IM	216	Goods under subsect 131aa(2) of Customs Act 1901
BLADE	TREATMENT_CODE_IM	306	Goods intended for use of official internat org'n
BLADE	TREATMENT_CODE_IM	325	Revenue collected on dutiable ship stores
BLADE	TREATMENT_CODE_IM	351	Temporary good - aircraft or vessels under own power
BLADE	TREATMENT_CODE_IM	352	Temporary goods - other (temporary trade)
BLADE	TREATMENT_CODE_IM	354	S162A temporary goods not accompanied by a carnet
BLADE	TREATMENT_CODE_IM	357	Goods to be used in response to the COVID-19 pandemic
BLADE	TREATMENT_CODE_IM	444	For use in mft of excisable goods, S24, excise act
BLADE	TREATMENT_CODE_IM	468	SPARTECA (TCF Provisions) Scheme goods entered on or before 31/12/2014
BLADE	TREATMENT_CODE_IM	471	Goods entered for home consumption or use by selected industries
BLADE	TREATMENT_CODE_IM	505	Goods granted a Tariff Concession Order, other than goods of 3819.00.00
BLADE	TREATMENT_CODE_IM	507	Goods, declared by a TCO to item 50, ie. goods classifed to 3819.00.00 in Sch 3.
BLADE	TREATMENT_CODE_IM	508	Goods classified under HS 38170010 of schedule 3 with a Tariff Concession Order
BLADE	TREATMENT_CODE_IM	509	Goods under 38190000 exempt from Product Stewardship Oil Levy
BLADE	TREATMENT_CODE_IM	521	Australian goods returned for repair or alteration
BLADE	TREATMENT_CODE_IM	657	Goods to be used in response to the COVID-19 pandemic
BLADE	TREATMENT_CODE_IM	692	Aircraft stores
BLADE	TREATMENT_CODE_IM	701	Scientific goods, instruments and apparatus covered by special arrangements
BLADE	TREATMENT_CODE_IM	702	Specimens for calibration, measurement, comparison or a reference material
BLADE	TREATMENT_CODE_IM	703	Books, visual and auditory goods covered by special arrangements, by by-law
BLADE	TREATMENT_CODE_IM	706	Photographic plates & film under HS 3705 of Schedule 3, prescribed by by-law
BLADE	TREATMENT_CODE_IM	707	Works of art or collectors pieces covered by special arrangements
BLADE	TREATMENT_CODE_IM	708	Theatrical costumes or props and traditional costumes, prescribed by by-law
BLADE	TREATMENT_CODE_IM	713	Goods subject to the Torres Strait Treaty between Australia & PNG, by by-law
BLADE	TREATMENT_CODE_IM	714	Goods for use in Eastern Greater Sunrise offshore area, prescribed by by-law
BLADE	TREATMENT_CODE_IM	716	Goods repaired etc overseas under a FTA, value before repair etc (HS recode)
BLADE	TREATMENT_CODE_IM	719	Repaired goods under sect. 269Q, unaltered, value before repair (HS recode)
BLADE	TREATMENT_CODE_IM	721	ABS code for goods for repair, alteration, processing for export (prev. 421)
BLADE	TREATMENT_CODE_IM	723	Goods donatated or bequeathed to an Australian organization, as per by-law
BLADE	TREATMENT_CODE_IM	728	Aids and appliances for persons with disabilities, as prescribed by by-law
BLADE	TREATMENT_CODE_IM	729	Goods for persons with disabilities & goods to which UNESCO annex E apply
BLADE	TREATMENT_CODE_IM	730	Components or material used in the manufacture & repair of invalid carriages
BLADE	TREATMENT_CODE_IM	731	SPARTECA (TCF Provisions) Scheme goods entered on or before 31/12/2014
BLADE	TREATMENT_CODE_IM	732	Textiles, clothing and footwear, as prescribed by by-law
BLADE	TREATMENT_CODE_IM	733	Orthopaedic textile goods excluded from Ch 90 by para (b) Note 1 of Ch 90
BLADE	TREATMENT_CODE_IM	734	Aircraft parts, materials and test equipment
BLADE	TREATMENT_CODE_IM	735	Vessel parts & materials for use on vessels exceed 150 gross tons, by by-law
BLADE	TREATMENT_CODE_IM	736	Utilities, pick-ups or passenger motor vehicles, 30 years or more of age
BLADE	TREATMENT_CODE_IM	737	Used or second-hand passenger motor vehicles, as prescribed by by-law
BLADE	TREATMENT_CODE_IM	738	Original components for use in the manufacture of vehicles over 3.5T, by by-law
BLADE	TREATMENT_CODE_IM	739	Goods for use in vehicle testing, quality control or development, by by-law
BLADE	TREATMENT_CODE_IM	740	Aluminised steel for use in automotive muffler exhaust systems or components
BLADE	TREATMENT_CODE_IM	741	Goods for for use in an authorised space project, as prescribed by by-law
BLADE	TREATMENT_CODE_IM	742	Robots and parts or accessories thereof, as prescribed by by-law
BLADE	TREATMENT_CODE_IM	743	Goods for use as prototypes, as prescribed by by-law
BLADE	TREATMENT_CODE_IM	744	Capital equipment covered by Ministerial Determination from 1/3/2013, by-law
BLADE	TREATMENT_CODE_IM	745	Split consignment of completed machine or equipment covered by a TCO, by by-law
BLADE	TREATMENT_CODE_IM	746	Certain authorised raw materials and intermediate goods, as per by-law
BLADE	TREATMENT_CODE_IM	747	Authorised metal materials & goods within Chpts 72-82 of Sched 3, by by-law
BLADE	TREATMENT_CODE_IM	748	Certain inputs to manufacture including chemicals, plastics & paper, by-law
BLADE	TREATMENT_CODE_IM	749	Aluminium sheet for use in the manufacture of cans, as prescribed by by-law
BLADE	TREATMENT_CODE_IM	751	Machinery imported with other goods making it ineligible for a TCO, by-law
BLADE	TREATMENT_CODE_IM	754	Handicrafts, as prescribed by by-law
BLADE	TREATMENT_CODE_IM	755	Goods subject to cheese and curd quota
BLADE	TREATMENT_CODE_IM	756	Placebos to be used in clinical trials, as prescribed by Item 56 of Schedule 4
BLADE	TREATMENT_CODE_IM	757	COVID-19 response measure
BLADE	TREATMENT_CODE_IM	758	Goods imported as part of the Joint Strike Fighter (F-35) Program
BLADE	TREATMENT_CODE_IM	759	Goods for use in connection with an international sporting event
BLADE	TREATMENT_CODE_IM	816	Goods repaired etc overseas under a FTA, cost of repair etc (HS recode)
BLADE	TREATMENT_CODE_IM	819	Repaired goods under section 269Q, unaltered, cost of repairs (HS recode)
BLADE	TREATMENT_CODE_IM	820	Goods returned after repair/renovation, value before repair, by-law (Recode)
BLADE	TREATMENT_CODE_IM	821	Goods specified in a tradex order imported by the holder of the tradex order
BLADE	TREATMENT_CODE_IM	822	Containers for importing goods then exported with no other use as per by-law
BLADE	TREATMENT_CODE_IM	825	Collection of Compliance Security Duty for tobacco products
BLADE	TREATMENT_CODE_IM	829	Goods re-imported after repair/renovation, cost of repair, by-law (Recode)
BLADE	TREATMENT_CODE_IM	832	Refund of Duty for tobacco products on-sold to approved s79 Establishments
BLADE	TREATMENT_CODE_IM	839	Goods for use in vehicle testing, quality control or development, by by-law
BLADE	TREATMENT_CODE_IM	845	Split consignment of completed machine or equip not covered by a TCO, by-law
BLADE	TREATMENT_CODE_IM	857	Medical goods, hygiene goods and goods used in the manufacture of medicaments
BLADE	TREATMENT_CODE_IM	858	Goods that are for use under the Geelong Treaty
BLADE	TREATMENT_CODE_IM	921	Goods imported for repair and intended to be exported (recode to 9999302130)
BLADE	TREATMENT_CODE_IM	952	Mineral & aromatic process oils exempt from Stewardship Oil Levy, by by-law
BLADE	TREATMENT_CODE_IM	953	Polyglycol brake fluid exempt from Prod Stew Oil Levy, by-law (excl. Item50)
BLADE	TREATMENT_CODE_IM	963	Dutiable passenger items where Customs entry not reqd
BLADE	TREATMENT_CODE_IM	964	Articles by parcel post where Customs entry not reqd
BLADE	TREATMENT_CODE_IM	966	Sundry undistributed duty
CENSUS	EMPCD	0001	Cape York
CENSUS	EMPCD	0002	Central Coast
CENSUS	EMPCD	0003	East Kimberley
CENSUS	EMPCD	0004	Far West Coast SA
CENSUS	EMPCD	0005	Goulburn Murray
CENSUS	EMPCD	0006	Inner Sydney
CENSUS	EMPCD	0007	Ngarrindjeri
CENSUS	EMPCD	0008	North East Arnhem Land
CENSUS	EMPCD	0009	NPY Lands
CENSUS	EMPCD	0010	West Kimberley
CENSUS	EMPCD	9999	Not in an Empowered Communities region / not stated
CENSUS	EMPCP	0001	Cape York
CENSUS	EMPCP	0002	Central Coast
CENSUS	EMPCP	0003	East Kimberley
CENSUS	EMPCP	0004	Far West Coast SA
CENSUS	EMPCP	0005	Goulburn Murray
CENSUS	EMPCP	0006	Inner Sydney
CENSUS	EMPCP	0007	Ngarrindjeri
CENSUS	EMPCP	0008	North East Arnhem Land
CENSUS	EMPCP	0009	NPY Lands
CENSUS	EMPCP	0010	West Kimberley
CENSUS	EMPCP	9999	Not in an Empowered Communities region / not stated
CORE	ADDRESS_USE	Commercial	Commercial
CORE	ADDRESS_USE	Residential	Residential
CORE	BUS_SOURCE	DOMINO	DOMINO
CORE	BUS_SOURCE	ITR	ITR
CORE	BUS_SOURCE	PS	PS
CORE	BUS_SOURCE	STP	STP
CORE	C_ACTIVITY	0	No
CORE	C_ACTIVITY	1	Yes
CORE	CACF	@	Not applicable
CORE	CACF	1	One child in family
CORE	CACF	2	Two children in family
CORE	CACF	3	Three children in family
CORE	CACF	4	Four children in family
CORE	CACF	5	Five children in family
CORE	CACF	6	Six or more children in family
CORE	CPRF	@	Not applicable
CORE	CPRF	2	Two persons in family
CORE	CPRF	3	Three persons in family
CORE	CPRF	4	Four persons in family
CORE	CPRF	5	Five persons in family
CORE	CPRF	6	Six or more persons in family
CORE	CR_ADDRESS_SOURCE	Postal	Postal
CORE	CR_ADDRESS_SOURCE	Residential	Residential
CORE	CTPP	@	Not applicable
CORE	CTPP	1	Natural, or adopted child of both parents or lone parent
CORE	CTPP	2	Step child of male parent
CORE	CTPP	3	Step child of female parent
CORE	CTPP	4	Foster child, so stated
CORE	CTPP	5	Otherwise related child (under 15)
CORE	CTPP	6	Unrelated child (under 15)
CORE	CTPP	V	Overseas visitor
CORE	D_ACTIVITY	0	No
CORE	D_ACTIVITY	1	Yes
CORE	DEATH_AMENDED	0	No
CORE	DEATH_AMENDED	1	Yes
CORE	DOB_M	1	1
CORE	DOB_M	10	10
CORE	DOB_M	11	11
CORE	DOB_M	12	12
CORE	DOB_M	2	2
CORE	DOB_M	3	3
CORE	DOB_M	4	4
CORE	DOB_M	5	5
CORE	DOB_M	6	6
CORE	DOB_M	7	7
CORE	DOB_M	8	8
CORE	DOB_M	9	9
CORE	DOM_ADDRESS_SOURCE	Postal	Postal
CORE	DOM_ADDRESS_SOURCE	Residential	Residential
CORE	EMP_SOURCE	DOMINO	DOMINO
CORE	EMP_SOURCE	ITR	ITR
CORE	EMP_SOURCE	PS	PS
CORE	EMP_SOURCE	STP	STP
CORE	ERP_STATUS	0	No
CORE	ERP_STATUS	1	Yes
CORE	FPIP	@	Not applicable
CORE	FPIP	1	Male parent
CORE	FPIP	2	Female parent
CORE	FPIP	V	Overseas visitor
CORE	FRLF	@	Not applicable
CORE	FRLF	1	Mother's/father's family
CORE	FRLF	2	Grandparent's family
CORE	FRLF	3	Son's/daughter's family
CORE	FRLF	4	Grandchild's family
CORE	FRLF	5	Brother's/sister's family
CORE	FRLF	6	Other related family
CORE	FRLF	7	Unrelated family
CORE	GOV_SOURCE	DOMINO	DOMINO
CORE	GOV_SOURCE	ITR	ITR
CORE	GOV_SOURCE	PS	PS
CORE	GOV_SOURCE	STP	STP
CORE	HCFMF	@@	Not applicable
CORE	HCFMF	1	One family household
CORE	HCFMF	11	One family household: Couple family with no children
CORE	HCFMF	12	One family household: Couple family with children
CORE	HCFMF	13	One family household: One parent family
CORE	HCFMF	14	One family household: Other family
CORE	HCFMF	2	Two family household
CORE	HCFMF	21	Two family household: Couple family with no children
CORE	HCFMF	22	Two family household: Couple family with children
CORE	HCFMF	23	Two family household: One parent family
CORE	HCFMF	24	Two family household: Other family
CORE	HCFMF	3	Three or more family household
CORE	HCFMF	31	Three or more family household: Couple family with no children
CORE	HCFMF	32	Three or more family household: Couple family with children
CORE	HCFMF	33	Three or more family household: One parent family
CORE	HCFMF	34	Three or more family household: Other family
CORE	IFMSTP	@	Not applicable
CORE	IFMSTP	1	Marital status not imputed
CORE	IFMSTP	2	Marital status imputed
CORE	INV_SOURCE	DOMINO	DOMINO
CORE	INV_SOURCE	ITR	ITR
CORE	INV_SOURCE	PS	PS
CORE	INV_SOURCE	STP	STP
CORE	M_ACTIVITY	0	No
CORE	M_ACTIVITY	1	Yes
CORE	MCD_ADDRESS_SOURCE	Postal	Postal
CORE	MCD_ADDRESS_SOURCE	Residential	Residential
CORE	MDCP	@	Not applicable
CORE	MDCP	1	Married in a registered marriage
CORE	MDCP	2	Married in a de facto marriage
CORE	MDCP	3	Not married
CORE	MDCP	V	Overseas visitor
CORE	MSTP	@	Not applicable
CORE	MSTP	1	Never married
CORE	MSTP	2	Widowed
CORE	MSTP	3	Divorced
CORE	MSTP	4	Separated
CORE	MSTP	5	Married
CORE	OTH_SOURCE	DOMINO	DOMINO
CORE	OTH_SOURCE	ITR	ITR
CORE	OTH_SOURCE	PS	PS
CORE	OTH_SOURCE	STP	STP
CORE	PP_STATUS	0	No
CORE	PP_STATUS	1	Yes
CORE	PRIVATE_DWELLING_STRUCT	@@	Not applicable
CORE	PRIVATE_DWELLING_STRUCT	&&	Not stated
CORE	PRIVATE_DWELLING_STRUCT	11	Separate house
CORE	PRIVATE_DWELLING_STRUCT	21	Semi-detached, row or terrace house, townhouse etc. with one storey
CORE	PRIVATE_DWELLING_STRUCT	22	Semi-detached, row or terrace house, townhouse etc. with two or more storeys
CORE	PRIVATE_DWELLING_STRUCT	31	Flat or apartment in a one or two storey block
CORE	PRIVATE_DWELLING_STRUCT	32	Flat or apartment in a three storey block
CORE	PRIVATE_DWELLING_STRUCT	33	Flat or apartment in a four to eight storey block
CORE	PRIVATE_DWELLING_STRUCT	34	Flat or apartment in a nine or more storey block
CORE	PRIVATE_DWELLING_STRUCT	35	Flat or apartment attached to a house
CORE	PRIVATE_DWELLING_STRUCT	91	Caravan
CORE	PRIVATE_DWELLING_STRUCT	92	Cabin, houseboat
CORE	PRIVATE_DWELLING_STRUCT	93	Improvised home, tent, sleepers out
CORE	PRIVATE_DWELLING_STRUCT	94	House or flat attached to a shop, office, etc.
CORE	RLCP	@	Not applicable
CORE	RLCP	1	Husband, wife or partner as reported, opposite-sex couple
CORE	RLCP	2	De facto partner as reported, opposite-sex couple
CORE	RLCP	3	Husband, wife or partner as reported, same-sex couple
CORE	RLCP	4	De facto partner as reported, same-sex couple
CORE	RLCP	V	Overseas visitor
CORE	RPIP	@	Not applicable
CORE	RPIP	1	Reference person in primary family
CORE	RPIP	2	Reference person in second family
CORE	RPIP	3	Reference person in third family
CORE	RPIP	4	Reference person in non-family household
CORE	RPIP	5	Other household member
CORE	RPIP	Other	Other
CORE	RPIP	V	Overseas visitor
CORE	SINGLE_AMENDED	0	No
CORE	SINGLE_AMENDED	1	Yes
CORE	SOURCES	ATO	ATO
CORE	SOURCES	BIRTHS	BIRTHS
CORE	SOURCES	CENSUS	CENSUS
CORE	SOURCES	DOMINO	DOMINO
CORE	SPIP	@	Not applicable
CORE	SPIP	1	Family reference person
CORE	SPIP	2	Spouse/partner
CORE	SPIP	V	Overseas visitor
CORE	SUP_SOURCE	DOMINO	DOMINO
CORE	SUP_SOURCE	ITR	ITR
CORE	SUP_SOURCE	PS	PS
CORE	SUP_SOURCE	STP	STP
CORE	T_ACTIVITY	0	No
CORE	T_ACTIVITY	1	Yes
CORE	TAX_GRS_SOURCE	DOMINO	DOMINO
CORE	TAX_GRS_SOURCE	ITR	ITR
CORE	TAX_GRS_SOURCE	PS	PS
CORE	TAX_GRS_SOURCE	STP	STP
CORE	TOTAL_SOURCES	0	0
CORE	TOTAL_SOURCES	1	1
CORE	TOTAL_SOURCES	2	2
CORE	TOTAL_SOURCES	3	3
CORE	TOTAL_SOURCES	4	4
CORE	TOTAL_SOURCES	5	5
CORE	TOTAL_SOURCES	6	6
CORE	TOTAL_SOURCES	7	7
DEATHS	SEIFA_IRSAD_DEC	1	Lowest 10 per cent of areas (most disadvantaged)
DEATHS	SEIFA_IRSAD_DEC	10	Highest 10 per cent of areas (most advantaged)
DEATHS	SEIFA_IRSAD_DEC	2	2
DEATHS	SEIFA_IRSAD_DEC	3	3
DEATHS	SEIFA_IRSAD_DEC	4	4
DEATHS	SEIFA_IRSAD_DEC	5	5
DEATHS	SEIFA_IRSAD_DEC	6	6
DEATHS	SEIFA_IRSAD_DEC	7	7
DEATHS	SEIFA_IRSAD_DEC	8	8
DEATHS	SEIFA_IRSAD_DEC	9	9
DEATHS	SEIFA_IRSAD_DEC_2021	1	Lowest 10 per cent of areas (most disadvantaged)
DEATHS	SEIFA_IRSAD_DEC_2021	10	Highest 10 per cent of areas (most advantaged)
DEATHS	SEIFA_IRSAD_DEC_2021	2	2
DEATHS	SEIFA_IRSAD_DEC_2021	3	3
DEATHS	SEIFA_IRSAD_DEC_2021	4	4
DEATHS	SEIFA_IRSAD_DEC_2021	5	5
DEATHS	SEIFA_IRSAD_DEC_2021	6	6
DEATHS	SEIFA_IRSAD_DEC_2021	7	7
DEATHS	SEIFA_IRSAD_DEC_2021	8	8
DEATHS	SEIFA_IRSAD_DEC_2021	9	9
DEATHS	SEIFA_IRSD_DEC	1	Lowest 10 per cent of areas (most disadvantaged)
DEATHS	SEIFA_IRSD_DEC	10	Highest 10 per cent of areas (most advantaged)
DEATHS	SEIFA_IRSD_DEC	2	2
DEATHS	SEIFA_IRSD_DEC	3	3
DEATHS	SEIFA_IRSD_DEC	4	4
DEATHS	SEIFA_IRSD_DEC	5	5
