anzsic_division_code	anzsic_division	anzsic_class_code	anzsic_class
R	Arts and Recreation Services	9209	Other Gambling Activities
S	Other Services	9411	Automotive Electrical Services
S	Other Services	9412	Automotive Body, Paint and Interior Repair
S	Other Services	9419	Other Automotive Repair and Maintenance
S	Other Services	9421	Domestic Appliance Repair and Maintenance
S	Other Services	9422	Electronic (except Domestic Appliance) and Precision Equipment Repair and Maintenance
S	Other Services	9429	Other Machinery and Equipment Repair and Maintenance
S	Other Services	9491	Clothing and Footwear Repair
S	Other Services	9499	Other Repair and Maintenance n.e.c.
S	Other Services	9511	Hairdressing and Beauty Services
S	Other Services	9512	Diet and Weight Reduction Centre Operation
S	Other Services	9520	Funeral, Crematorium and Cemetery Services
S	Other Services	9531	Laundry and Dry-Cleaning Services
S	Other Services	9532	Photographic Film Processing
S	Other Services	9533	Parking Services
S	Other Services	9534	Brothel Keeping and Prostitution Services
S	Other Services	9539	Other Personal Services n.e.c.
S	Other Services	9540	Religious Services
S	Other Services	9551	Business and Professional Association Services
S	Other Services	9552	Labour Association Services
S	Other Services	9559	Other Interest Group Services n.e.c.
S	Other Services	9601	Private Households Employing Staff
S	Other Services	9602	Undifferentiated Goods-Producing Activities of Private Households for Own Use
S	Other Services	9603	Undifferentiated Service-Producing Activities of Private Households for Own Use
