identifier,label,sheet,source_row,level,survey,frequency,platform,collection_cadence,source_workbook
COEPOP10,P10 - Employees and OMIEs in second job,Populations,55,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
COEPOP11,P11 - Trade union members in main job,Populations,60,Person,COE,Biennial,DataLab,biennial,COE_2025_Data_Item_List_DataLab.xlsx
COEPOP12,P12 - Trade union members,Populations,66,Person,COE,Biennial,DataLab,biennial,COE_2025_Data_Item_List_DataLab.xlsx
COEPOP13,P13 - People who found work through a labour hire firm or employment agency,Populations,72,Person,COE,Biennial,DataLab,biennial,COE_2025_Data_Item_List_DataLab.xlsx
COEPOP14,P14 - Labour hire workers,Populations,78,Person,COE,Biennial,DataLab,biennial,COE_2025_Data_Item_List_DataLab.xlsx
FINPRSWT,Weight,Weighting,10,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0201,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0202,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0203,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0204,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0205,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0206,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0207,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0208,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0209,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0210,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0211,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0212,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0213,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0214,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0215,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0216,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0217,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0218,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0219,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0220,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0221,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0222,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0223,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0224,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0225,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0226,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0227,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0228,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0229,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WPX0230,Replicate weight group 01 to 30,Weighting,15,Person,COE,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
